C-1 Long
C#-1 LongCS
D-1 LongHarmonics
D#-1 LongFlautando
E-1 LongSulPont
F-1 LongSulTasto
F#-1 LongSulG
G-1 MarcatoAttack
G#-1 Spiccato
A-1 Short0.5
A#-1 Short1.0
B-1 ShortBrushed
C0 ShortBrushedCS
C#0 ShortHarmonics
D0 ShortCS
D#0 Pizzicato
E0 PizzicatoBartok
F0 ColLegno
F#0 LongCSSulPoint
G0 LongSuperSulTasto
G#0 LongRachmaninov
A0 LongCSBlend
A#0 Tremolo
B0 TremSulPont
C1 TremCSMS-150bpm
C#1 TremMS-150bpm
D TremMS-180bpm
D#1 TrillMinor2nd
E1 TrillMajor2nd
F1 TrillMinor3rd
F#1 TrillMajor3rd
G1 Fx
