,Violins 1,Violins 2,Violas,Cellos,Basses,Horn Solo,Horn a2,Horns a6,Trumpet Solo,Trumpet a2,Trumpet a6,Trombone Solo,Trombone a2,Bass Trombone solo,Bass Trombone a2,Contrabass Trombone,Tuba,Contrabass Tuba,Cimbasso/Cimbassi a2,AltoFlute,Bass Clarinet,Bass Flute,Bassoon Solo,Bassoons a2,Clarinet Solo,Clarinet a2,Contrabass Clarinet,Contrabasson,Cor Anglais,Flute Solo,Flute a2,Oboe Solo,Oboe a2,Piccolo
C-1,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long,Long
C#-1,LongCS,LongCS,LongCS,LongCS,LongHarmonics,Marcato,LongCuivre,LongCuivre,LongMuted,LongMuted,LongCuivre,LongCuivre,LongCuivre,LongCuivre,LongCuivre,LongCuivre,LongStopped,Marcato,LongCuivre,LongFlutter,Tenuto,LongFlutter,LongFlutter,LongFlutter,LongFlutter,MultiTongued,Marcato,Marcato,Marcato,LongFlutter,LongFlutter,LongFlutter,LongFlutter,LongFlutter
D-1,LongHarmonics,LongHarmonics,LongHarmonics,LongHarmonics,LongFlautando,Tenuto,LongStopped,Marcato,Marcato,Marcato,Marcato,LongMuted,Marcato,Marcato,Marcato,LongStopped,Marcato,Tenuto,Marcato,LongHarmonics,Staccato,LongOverblown,LongHarmonics,MultiTongued,MultiTongued,Marcato,Tenuto,Tenuto,Tenuto,LongHarmonics,LongHarmonics,MultiTongued,Marcato,LongHarmonics
D#-1,LongFlautando,LongFlautando,LongFlautando,LongFlautando,LongSulPont,Staccato,Tenuto,Tenuto,MarcatoMuted,Tenuto,Tenuto,Marcato,Tenuto,Tenuto,Tenuto,Marcato,Tenuto,Staccato,Tenuto,LongOverblown,TrillMinor2nd,Marcato,MultiTongued,Marcato,Staccato,Tenuto,Staccato,Staccato,Staccato,LongHollow,LongOverblown,Marcato,Staccato,MultiTongued
E-1,LongSulPont,LongSulPont,LongSulPont,LongSulPont,MarcatoAttack,TrillMinor2nd,Staccato,Staccato,Tenuto,Staccato,Staccato,MarcatoMuted,Staccato,Staccato,Staccato,Tenuto,Staccato,Rip,Staccato,Marcato,TrillMajor2nd,Tenuto,Marcato,Tenuto,TrillMinor2nd,Staccato,,,,MultiTongued,LongHollow,Tenuto,TrillMinor2nd,Marcato
F-1,LongSulTasto,LongSulG,LongSulC,LongSulC,Spiccato,TrillMajor2nd,TrillMinor2nd,MultiTongued,TenutoMuted,TrillMinor2nd,MultiTongued,Tenuto,MultiTongued,MultiTongued,MultiTongued,Staccato,ShortStopped,Fall,Rip,Tenuto,,Staccato,Tenuto,Staccato,TrillMajor2nd,TrillMinor2nd,,,,Marcato,MultiTongued,Staccato,TrillMajor2nd,Tenuto
F#-1,LongSulG,MarcatoAttack,MarcatoAttack,MarcatoAttack,Short0.5,LongFlutter,TrillMajor2nd,Rip,Staccato,TrillMajor2nd,Rip,TenutoMuted,FxGlissandi,LongFlutter,Rip,StaccatoMuted,Rip,,Fall,Staccato,,,Staccato,TrillMinor2nd,,TrillMajor2nd,,,,Tenuto,Marcato,TrillMinor2nd,,Staccato
G-1,MarcatoAttack,Spiccato,Spiccato,Spiccato,Short1.0,Rip,MultiTongued,Fall,StaccatoMuted,MultiTongued,Fall,Staccato,Rip,Rip,Fall,Rip,Fall,,,ShortOverblown,,,TrillMinor2nd,TrillMajor2nd,,,,,,Staccato,Tenuto,TrillMajor2nd,,TrillMinor2nd
G#-1,Spiccato,Short0.5,Short0.5,Short0.5,StaccatoDig,Fall,LongFlutter,,TrillMinor2nd,LongMariachi,,StaccatoMuted,Fall,Fall,FxGlissandi,Fall,,,,TrillMinor2nd,,,TrillMajor2nd,,,,,,,TrillMinor2nd,Staccato,,,TrillMajor2nd
A-1,Short0.5,Short1.0,Short1.0,Short1.0,ShortSpicc-Pizz,,BellsUpStaccato,,TrillMajor2nd,Rip,,MultiTongued,,,,,,,,TrillMajor2nd,,,,,,,,,,TrillMajor2nd,ShortOverblown,,,
A#-1,Short1.0,ShortBrushed,ShortBrushed,ShortBrushed,ShortHarmonics,,BellsUpQuaver,,MultiTongued,Fall,,LongFlutter,,,,,,,,,,,,,,,,,,MarcatoSfz,TrillMinor2nd,,,
B-1,ShortBrushed,ShortBrushedCS,ShortBrushedCS,ShortBrushedCS,Pizzicato,,BellsUpCrotchet,,LongFlutter,,,LongFlutterMuted,,,,,,,,,,,,,,,,,,,TrillMajor2nd,,,
C0,ShortBrushedCS,ShortHarmonics,ShortHarmonics,ShortHarmonics,PizzicatoBartok,,BellsUpLong,,LongMariachi,,,Rip,,,,,,,,,,,,,,,,,,,MarcatoSfz,,,
C#0,ShortHarmonics,ShortCS,ShortCS,ShortCS,ColLegno,,Rip,,Rip,,,Fall,,,,,,,,,,,,,,,,,,,,,,
D0,ShortCS,Pizzicato,Pizzicato,Pizzicato,LongSuperSulTasto,,Fall,,Fall,,,,,,,,,,,,,,,,,,,,,,,,,
D#0,Pizzicato,PizzicatoBartok,PizzicatoBartok,PizzicatoBartok,LongSulPontDist,,,,FxGlissandi,,,,,,,,,,,,,,,,,,,,,,,,,
E0,PizzicatoBartok,ColLegno,ColLegno,ColLegno,Tremolo,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F0,ColLegno,LongCSSulPoint,LongCSSulPoint,LongCSSulPoint,TremSulPont,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F#0,LongCSSulPoint,LongSuperSulTasto,LongSuperSulTasto,LongSuperSulTasto,TremMS-150bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G0,LongSuperSulTasto,LongRachmaninov,LongRachmaninov,LongRachmaninov,TremMS-180bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G#0,LongRachmaninov,LongCSBlend,LongCSBlend,LongCSBlend,TrillMinor2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A0,LongCSBlend,Tremolo,Tremolo,Tremolo,TrillMajor2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
A#0,Tremolo,TremSulPont,TremSulPont,TremSulPont,Fx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
B0,TremSulPont,TremCS,TremCS,TremCS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C1,TremCSMS-150bpm,TremMS-150bpm,TremMS-150bpm,TremCSMS-150bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
C#1,TremMS-150bpm,TremMS-180bpm,TremMS-180bpm,TremMS-150bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D,TremMS-180bpm,TrillMinor2nd,TrillMinor2nd,TremMS-180bpm,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
D#1,TrillMinor2nd,TrillMajor2nd,TrillMajor2nd,TrillMinor2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
E1,TrillMajor2nd,Fx,Fx,TrillMajor2nd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F1,TrillMinor3rd,,,TrillMinor3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
F#1,TrillMajor3rd,,,TrillMajor3rd,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
G1,Fx,,,Fx,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
